country,party,year,speech_count,word_count,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,dominant_topic
CZ,ODS,2016,6648,598513,0.0014144370646705976,0.6302509926033841,0.002485251697594689,0.003426579960063604,0.006667911353092328,0.1669457750481882,0.0007465060332619225,0.18264150035193022,4.6202510304385034e-05,0.005374843377509889,topic_1
CZ,TOP09,2016,4896,373413,0.00034628415214013684,0.19664486176953194,0.00544034157646035,0.010974541252777033,0.02807433225432559,0.3114890126100289,0.022059967788815492,0.12598730537314876,1.4205969510458989e-06,0.2989819326258208,topic_5
CZ,Usvit,2016,2202,164874,0.005382360610166524,0.07284019167766632,0.0002512974940621019,3.257936082041852e-06,0.3365486636046394,0.03211445280822096,0.036753235089657096,0.2994517058404596,0.1880657647693211,0.02858907016972468,topic_4
CZ,ANO2011,2017,5436,385528,0.002160142883825108,0.07770709447437345,0.003376996909051517,0.4218093276033131,0.16972997351164035,0.056100731436556084,0.014361523536213233,0.22898443413548641,1.3579040574089805e-06,0.025768417605483502,topic_3
CZ,CSSD,2017,3229,215146,0.0003482431416626106,0.04634572139078198,0.0013877081898148195,0.20292268865004726,0.17234806846276685,0.20653249196371679,0.0699460130586349,0.29745654425673557,2.449566461457601e-06,0.002710071319377876,topic_7
CZ,KDU-ČSL,2017,1753,122913,0.01038505033909322,0.022546653299289558,0.007339583349639732,0.1154812809070763,0.055237398318857794,0.6313086464070602,0.11679875796006493,0.002821333816887899,4.0109479439636736e-06,0.03807728465408638,topic_5
CZ,KSCM,2017,4055,300200,0.0017072239309766579,0.0248087025054538,0.005784119415556703,0.054461984856001136,0.5902204030110322,0.25815860456638823,0.0022484018848761226,0.06038916156759817,6.690750186597878e-05,0.0021544907602511067,topic_4
CZ,ODS,2017,4658,404582,0.00351266038628068,0.5585954772393807,0.0021492328181042537,0.07496849738878353,0.13822886281235405,0.03408144931671057,0.033765458270118294,0.15318705373393587,2.1253061122313263e-06,0.001509182728219825,topic_1
CZ,Piráti,2017,158,10538,0.028996056334498435,0.06709341696221609,5.632235915272252e-05,0.281416604630448,0.38500515399896823,5.632162975991698e-05,0.07402331290125894,0.10956362440874824,0.02529538784432656,0.028493798930622802,topic_4
CZ,SPD,2017,56,3734,0.00018055981773434522,0.03253534993770619,0.00018055772547723238,0.02722426176129936,0.5738601433328718,0.00018054962861512437,0.00018056084593186223,0.08966658433233073,0.2758108762857208,0.0001805563323125083,topic_4
