country,party,month,month_start,speech_count,word_count,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,dominant_topic
CZ,KDU-ČSL,2019-03,2019-03-01,430,34907,0.08479138138443713,0.08717841313630725,8.728486781308313e-06,0.44882818407785724,0.031989347953341615,0.19152337776940873,0.0001572142638134451,0.0003851998620762243,0.14143202299717458,0.013706130068802435,topic_3
CZ,KSCM,2019-03,2019-03-01,211,16757,1.8554772971393858e-05,0.11882203154159408,1.8554771592020503e-05,0.3325288548259518,0.020637797926988725,0.07898081467970414,1.855487503015624e-05,0.012689495058571934,0.08147926764640692,0.3548060739011888,topic_9
CZ,ODS,2019-03,2019-03-01,935,78315,0.002816124277595163,0.04431435243817062,0.0008656593007099201,0.18417966364838625,0.5050425926324671,0.13050947913365055,0.0033174895461276386,0.03399703069860262,0.035448356683513836,0.059509251640776355,topic_4
CZ,Piráti,2019-03,2019-03-01,623,43198,0.04900104916807529,0.18781037952982627,6.872919149287326e-06,0.12116592070903658,0.1817082263500428,0.26304698493486406,6.8729171036275775e-06,0.04023388337590727,0.023711700136372797,0.13330810995962206,topic_5
CZ,SPD,2019-03,2019-03-01,181,11738,0.038645644368322234,0.26842765705159605,0.14252663506634,0.23175958870880903,2.5176570441837247e-05,0.09885475519642199,2.5176566754952306e-05,2.5176781879479843e-05,4.643654439909772e-05,0.21966375314503533,topic_1
CZ,STAN,2019-03,2019-03-01,118,9100,0.14696069672654657,3.486570585579786e-05,3.4864637192883964e-05,0.3036478472717186,0.12269778965650596,0.13786465943531986,3.486528245448963e-05,0.0486884942192843,0.17625975863114912,0.06377615843397241,topic_3
CZ,TOP09,2019-03,2019-03-01,183,15906,0.09938288937368735,0.04748571359986703,2.1218798782562158e-05,0.39344734734832515,0.19632096069599617,0.10168830153503383,2.1219127714844188e-05,0.12648704652605755,0.006349244255114434,0.028796058739421027,topic_3
CZ,ANO2011,2019-04,2019-04-01,633,47035,0.0011021062300371305,0.2526881945959658,0.0024678295564496524,0.00969801857736238,0.13987030215232216,0.4146175765941655,0.02931670210308076,0.011133133891561372,0.0981879093516737,0.04091822694738158,topic_5
CZ,CSSD,2019-04,2019-04-01,105,7067,0.1474292235709471,0.2742317730195549,0.03795875836091752,0.156766641378232,0.06219812557777347,0.11626808841054469,4.304125567244612e-05,0.006845483328772678,0.09656293773519375,0.10169592736239141,topic_1
CZ,KDU-ČSL,2019-04,2019-04-01,251,21773,0.021106345464904454,1.3888929213979409e-05,0.04308333950891372,0.3353926401706802,0.058391735563817104,0.19401666113304203,0.008303315600401847,1.388907971147676e-05,0.25187444414211835,0.08780374040719685,topic_3
CZ,KSCM,2019-04,2019-04-01,181,13662,2.1094326312302918e-05,0.21371466653172058,2.1094166529354385e-05,0.05572362432096619,2.1094047439921696e-05,2.109414113789102e-05,2.109432738776609e-05,0.05866537497807813,0.14485669681061142,0.5269341663498165,topic_9
CZ,ODS,2019-04,2019-04-01,640,55392,0.0003103043476626072,0.044102305583674485,0.005184748570598635,0.03827363602336227,0.5502382362329431,0.2367130179009853,5.341689859041145e-06,0.0036785668426347136,0.10095078935653935,0.02054305345174061,topic_4
CZ,Piráti,2019-04,2019-04-01,349,27278,0.09308209173394302,0.07530518569263879,0.0004055614120855637,0.04948333007752339,0.23681914344294472,0.3596279376415081,1.0771974204855294e-05,0.10720767606996691,0.02932693550972173,0.04873136644546309,topic_5
CZ,SPD,2019-04,2019-04-01,93,4785,0.0010797693482327846,0.519387197061095,0.15025566243887709,0.07899575465217619,5.908403463012732e-05,0.16195766145289306,5.9081886459822436e-05,5.90837198043715e-05,0.009829130350591863,0.07831757505523948,topic_1
CZ,STAN,2019-04,2019-04-01,134,9716,0.07919094355717698,0.06975338733694726,0.04013892348431892,0.2868723863411701,0.17315899901610685,0.12949865128878624,0.02613782961613267,0.03036639766789618,0.04526749536385009,0.11961498632761464,topic_3
CZ,TOP09,2019-04,2019-04-01,136,13229,0.09522737694760683,2.320322455312849e-05,2.3203251711831667e-05,0.34932383274852635,0.17228245329363928,0.06942902630641601,2.320266893728811e-05,0.08628476793283821,0.22735973056011388,2.320306565718405e-05,topic_3
CZ,ANO2011,2019-05,2019-05-01,676,26799,0.007351860223132197,0.25443461245702087,1.1729233434289984e-05,1.1729342693306397e-05,0.10206803738142507,0.5686269523557611,0.03845735005550167,0.0033104015826663593,0.023003392814865357,0.0027239345534998166,topic_5
CZ,CSSD,2019-05,2019-05-01,138,10732,0.06919135337837093,0.1026871947997409,0.0010552270624905186,0.40078490479333,0.0010112081528664842,0.17326234038760485,2.7941227119535075e-05,0.06828930697028307,0.178307242310626,0.005383280917567771,topic_3
CZ,KDU-ČSL,2019-05,2019-05-01,235,18777,0.23955176755663335,1.560998720239572e-05,1.5609592908631604e-05,0.3026107588826295,0.00395525231644531,0.16835840338470137,1.5609783914049873e-05,0.009347707730744982,0.27611367087819216,1.56098866281792e-05,topic_3
CZ,KSCM,2019-05,2019-05-01,115,9241,0.2598577170569273,0.01503739389870397,3.066465853479998e-05,0.15455462302091655,3.066452649707768e-05,0.07318269569232726,3.0664699511527874e-05,3.066468507854638e-05,0.17314676317948305,0.32409814858201985,topic_9
CZ,ODS,2019-05,2019-05-01,444,36669,0.02318461887082208,0.015475815353935062,0.004970449627988716,0.003965315958242196,0.5669902421402592,0.2527719063508796,7.687987075247369e-06,0.020080546945910344,0.09974879094307516,0.012804625821812304,topic_4
CZ,Piráti,2019-05,2019-05-01,299,24723,0.23910786777776985,0.03041538720060692,0.0019471377236940299,0.057240996314000106,0.19558529949686201,0.37550540585091874,1.2441426748889136e-05,0.05494097071590616,0.04523205216004527,1.2441333447999865e-05,topic_5
CZ,SPD,2019-05,2019-05-01,22,1865,0.14765479922323665,0.00015604041025095143,0.25524535885551536,0.00015605216395751513,0.10760984324580161,0.17495117491168224,0.07195761045600248,0.0001560516299960228,0.24195701651469384,0.00015605258886330095,topic_2
CZ,STAN,2019-05,2019-05-01,80,5806,0.012173623710787543,5.001170164231858e-05,5.0013799562048756e-05,0.1305664689775188,0.15857574587003231,0.3329619563801206,0.02682755700748657,0.15742998879361458,0.07014472028780057,0.11121991347143459,topic_5
CZ,TOP09,2019-05,2019-05-01,98,8466,0.11566636249042307,3.7534094746887185e-05,3.7534091651893604e-05,0.27132392361598795,0.18738022118117934,0.22516661342108896,3.753463169956262e-05,0.1013959856672328,0.09891675709562249,3.753371036695708e-05,topic_3
CZ,ANO2011,2019-06,2019-06-01,1160,59513,0.023018715930669162,0.2152626848848468,5.15392797399353e-06,0.07972027477018552,0.018202904872168905,0.4424715973008304,0.08100175255483756,0.037127364683803885,0.06509644559369328,0.0380931054809905,topic_5
CZ,CSSD,2019-06,2019-06-01,196,14724,2.1623133211083274e-05,0.36950862265078926,2.1623007447052543e-05,0.40555107474147917,0.022895152669623973,0.03425605536816824,0.0025324371491973465,0.11415242861039805,0.04906687898702608,0.0019941036826596615,topic_3
CZ,KDU-ČSL,2019-06,2019-06-01,395,34851,0.10143022444061046,0.0007407792517498224,0.0030753119991238087,0.5312339908911979,0.020529148789951282,0.1029998681091422,0.014333095115036533,0.03236576524231706,0.19328277932822766,9.036832643117386e-06,topic_3
CZ,KSCM,2019-06,2019-06-01,178,13498,2.3224614963740687e-05,0.030332138157903882,0.003444392680973204,0.32787615147617377,2.322467413030948e-05,0.10635370451750129,0.06020080542683822,0.1267110055703783,0.025409829604851154,0.31962552327628607,topic_3
CZ,ODS,2019-06,2019-06-01,837,71588,0.0023589122393871368,0.012648486175667186,0.003950379999487184,0.2789295584075481,0.32527601081330054,0.08488308809287126,0.04545732594205561,0.05916502841479003,0.18057589962615528,0.006755310288737799,topic_4
CZ,Piráti,2019-06,2019-06-01,538,44045,0.08328266070954239,0.00961934682240306,0.008236056425746,0.20283974838132834,0.11518837720834024,0.3696252630388802,0.04729791110016386,0.08363102248258869,0.07766261773245159,0.0026169960985555525,topic_5
CZ,SPD,2019-06,2019-06-01,124,9744,2.9498390568369033e-05,2.949774895499959e-05,0.2881812762469765,0.3323758059659445,2.9497879838435336e-05,0.19143274661557172,0.03163493822010634,2.9498365295793043e-05,0.11023415059039815,0.04602308997634502,topic_3
CZ,STAN,2019-06,2019-06-01,92,6471,0.003033255164829572,0.01853700194208765,4.718392917735316e-05,0.40183884950480636,0.14287683938524803,0.022136154969972843,0.06811568991463028,0.10677839906092222,0.10201375400660893,0.13462287212171684,topic_3
CZ,TOP09,2019-06,2019-06-01,188,20000,0.004621303153138673,1.6424707254031596e-05,1.6425055449493683e-05,0.5561546716939969,0.11052030813582416,0.10225694809519345,0.005787941999452935,0.1182378419292905,0.10237171041940785,1.6424810991851722e-05,topic_3
CZ,ANO2011,2019-07,2019-07-01,230,16790,0.15661399303920392,0.40458394647615176,1.7619954386947617e-05,0.018211794246946553,0.01815617942014118,0.30460354123160693,1.7619778338486387e-05,0.030168659818186956,0.06760902621279671,1.7619822240515436e-05,topic_1
CZ,CSSD,2019-07,2019-07-01,126,9665,0.15170974509860477,0.237535189366923,0.012214785259139523,0.22312331292640963,0.029642645683587095,0.16249484385099028,3.313332781945243e-05,0.041963527667916146,0.08093500979249925,0.060347807026110825,topic_1
CZ,KDU-ČSL,2019-07,2019-07-01,101,8637,0.27711872649353664,0.011033140567243008,0.041184728967399824,0.27787668376546526,3.6150618107126346e-05,0.2589837002408978,3.6150777300876115e-05,0.0006202041226833849,0.13307436389219254,3.615055517354404e-05,topic_3
CZ,KSCM,2019-07,2019-07-01,107,8573,0.08967744875700903,0.4275332937705384,0.070748056072437,0.008726784154518549,3.5184014757971145e-05,0.10195742504043322,3.518462170750261e-05,0.015201225289799704,0.032692992301992366,0.2533924059768063,topic_1
CZ,ODS,2019-07,2019-07-01,389,34986,0.002056081039917152,0.006479615680358499,0.021741457237153036,0.030861890564820058,0.479169889999233,0.17413812624769073,0.0023161279479263362,0.027263782087929525,0.25596470744029637,8.321754675244308e-06,topic_4
CZ,Piráti,2019-07,2019-07-01,163,12859,0.16409482499737293,0.08376927597781716,0.015870012022471968,0.038953050250655014,0.03983588434941637,0.4044771549036162,2.3186831421546005e-05,0.14645023980042293,0.10299983155080855,0.0035265393159971997,topic_5
CZ,SPD,2019-07,2019-07-01,88,6585,0.05003358505969141,4.75650743829641e-05,0.2127118714700363,0.1970001989305272,4.7564710575557176e-05,0.17911188688912386,4.756334486862463e-05,0.17069029182393364,0.06745734522674827,0.12285212747011222,topic_2
CZ,STAN,2019-07,2019-07-01,52,3699,0.13055013387466932,8.534410369211653e-05,0.03305091175462563,0.043952335596261,0.028166635069330676,0.23000746973158775,8.535035348708276e-05,0.09685188202799615,0.23457430958289313,0.20267562790545715,topic_8
CZ,TOP09,2019-07,2019-07-01,155,15482,0.1347874866295263,2.053544915022179e-05,0.05631641549170562,0.3272530412108087,0.10402901394827263,0.1297069624360198,0.0005690333501433933,0.05134132349666466,0.1959556524646275,2.0535523081169317e-05,topic_3
