speech_party,date,month,month_start,speech_rows,speech_label_type,mpds_party_id,mpds_partyname,mpds_partyabbrev,manifesto_countryname,manifesto_partyname,manifesto_partyabbrev,manifesto_date,edate,manifesto_month_start,manifesto_effective_date,doc_key,selection_method
ANO2011,2017-07-12,2017-07,2017-07-01,159,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date
CSSD,2017-07-12,2017-07,2017-07-01,101,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2017-07-12,2017-07,2017-07-01,44,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date
KSCM,2017-07-12,2017-07,2017-07-01,100,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date
ODS,2017-07-12,2017-07,2017-07-01,63,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date
TOP09,2017-07-12,2017-07,2017-07-01,53,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date
Usvit,2017-07-12,2017-07,2017-07-01,24,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date
ANO2011,2017-07-13,2017-07,2017-07-01,84,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date
CSSD,2017-07-13,2017-07,2017-07-01,33,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2017-07-13,2017-07,2017-07-01,27,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date
KSCM,2017-07-13,2017-07,2017-07-01,11,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date
ODS,2017-07-13,2017-07,2017-07-01,25,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date
TOP09,2017-07-13,2017-07,2017-07-01,12,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date
Usvit,2017-07-13,2017-07,2017-07-01,40,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date
ANO2011,2017-07-14,2017-07,2017-07-01,43,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date
CSSD,2017-07-14,2017-07,2017-07-01,45,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2017-07-14,2017-07,2017-07-01,10,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date
KSCM,2017-07-14,2017-07,2017-07-01,74,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date
ODS,2017-07-14,2017-07,2017-07-01,80,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date
TOP09,2017-07-14,2017-07,2017-07-01,37,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date
Usvit,2017-07-14,2017-07,2017-07-01,44,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date
ANO2011,2017-09-05,2017-09,2017-09-01,34,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date
CSSD,2017-09-05,2017-09,2017-09-01,9,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2017-09-05,2017-09,2017-09-01,7,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date
KSCM,2017-09-05,2017-09,2017-09-01,58,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date
ODS,2017-09-05,2017-09,2017-09-01,64,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date
TOP09,2017-09-05,2017-09,2017-09-01,40,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date
Usvit,2017-09-05,2017-09,2017-09-01,34,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date
ANO2011,2017-09-06,2017-09,2017-09-01,253,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date
CSSD,2017-09-06,2017-09,2017-09-01,66,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2017-09-06,2017-09,2017-09-01,23,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date
KSCM,2017-09-06,2017-09,2017-09-01,84,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date
ODS,2017-09-06,2017-09,2017-09-01,74,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date
TOP09,2017-09-06,2017-09,2017-09-01,42,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date
Usvit,2017-09-06,2017-09,2017-09-01,24,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date
ANO2011,2017-09-07,2017-09,2017-09-01,118,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date
CSSD,2017-09-07,2017-09,2017-09-01,22,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2017-09-07,2017-09,2017-09-01,27,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date
KSCM,2017-09-07,2017-09,2017-09-01,27,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date
ODS,2017-09-07,2017-09,2017-09-01,9,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date
TOP09,2017-09-07,2017-09,2017-09-01,49,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date
Usvit,2017-09-07,2017-09,2017-09-01,13,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date
ANO2011,2017-09-08,2017-09,2017-09-01,49,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date
CSSD,2017-09-08,2017-09,2017-09-01,78,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2017-09-08,2017-09,2017-09-01,25,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date
KSCM,2017-09-08,2017-09,2017-09-01,12,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date
ODS,2017-09-08,2017-09,2017-09-01,50,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date
TOP09,2017-09-08,2017-09,2017-09-01,38,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date
Usvit,2017-09-08,2017-09,2017-09-01,5,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date
ANO2011,2017-09-12,2017-09,2017-09-01,5,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date
CSSD,2017-09-12,2017-09,2017-09-01,7,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2017-09-12,2017-09,2017-09-01,13,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date
KSCM,2017-09-12,2017-09,2017-09-01,102,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date
ODS,2017-09-12,2017-09,2017-09-01,17,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date
TOP09,2017-09-12,2017-09,2017-09-01,95,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date
ANO2011,2017-09-13,2017-09,2017-09-01,87,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date
CSSD,2017-09-13,2017-09,2017-09-01,29,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2017-09-13,2017-09,2017-09-01,8,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date
KSCM,2017-09-13,2017-09,2017-09-01,81,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date
ODS,2017-09-13,2017-09,2017-09-01,4,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date
TOP09,2017-09-13,2017-09,2017-09-01,13,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date
Usvit,2017-09-13,2017-09,2017-09-01,10,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date
ANO2011,2017-10-16,2017-10,2017-10-01,92,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date
CSSD,2017-10-16,2017-10,2017-10-01,47,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2017-10-16,2017-10,2017-10-01,36,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date
KSCM,2017-10-16,2017-10,2017-10-01,92,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date
ODS,2017-10-16,2017-10,2017-10-01,17,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date
TOP09,2017-10-16,2017-10,2017-10-01,56,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date
Usvit,2017-10-16,2017-10,2017-10-01,73,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date
ANO2011,2017-11-20,2017-11,2017-11-01,32,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201710,21/10/2017,2017-10-01,2017-10-21,82430_201710,latest_manifesto_on_or_before_speech_date
CSSD,2017-11-20,2017-11,2017-11-01,3,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201710,21/10/2017,2017-10-01,2017-10-21,82320_201710,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2017-11-20,2017-11,2017-11-01,12,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201710,21/10/2017,2017-10-01,2017-10-21,82523_201710,latest_manifesto_on_or_before_speech_date
KSCM,2017-11-20,2017-11,2017-11-01,208,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201710,21/10/2017,2017-10-01,2017-10-21,82220_201710,latest_manifesto_on_or_before_speech_date
ODS,2017-11-20,2017-11,2017-11-01,22,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201710,21/10/2017,2017-10-01,2017-10-21,82413_201710,latest_manifesto_on_or_before_speech_date
Piráti,2017-11-20,2017-11,2017-11-01,10,party,82953,Czech Pirate Party,Piráti,Czech Republic,Czech Pirate Party,Piráti,201710,21/10/2017,2017-10-01,2017-10-21,82953_201710,latest_manifesto_on_or_before_speech_date
STAN,2017-11-20,2017-11,2017-11-01,7,party,82610,Mayors and Independents,STAN,Czech Republic,Mayors and Independents,STAN,201710,21/10/2017,2017-10-01,2017-10-21,82610_201710,latest_manifesto_on_or_before_speech_date
TOP09,2017-11-20,2017-11,2017-11-01,4,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201710,21/10/2017,2017-10-01,2017-10-21,82530_201710,latest_manifesto_on_or_before_speech_date
ANO2011,2017-11-22,2017-11,2017-11-01,79,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201710,21/10/2017,2017-10-01,2017-10-21,82430_201710,latest_manifesto_on_or_before_speech_date
CSSD,2017-11-22,2017-11,2017-11-01,3,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201710,21/10/2017,2017-10-01,2017-10-21,82320_201710,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2017-11-22,2017-11,2017-11-01,23,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201710,21/10/2017,2017-10-01,2017-10-21,82523_201710,latest_manifesto_on_or_before_speech_date
KSCM,2017-11-22,2017-11,2017-11-01,31,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201710,21/10/2017,2017-10-01,2017-10-21,82220_201710,latest_manifesto_on_or_before_speech_date
ODS,2017-11-22,2017-11,2017-11-01,38,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201710,21/10/2017,2017-10-01,2017-10-21,82413_201710,latest_manifesto_on_or_before_speech_date
Piráti,2017-11-22,2017-11,2017-11-01,21,party,82953,Czech Pirate Party,Piráti,Czech Republic,Czech Pirate Party,Piráti,201710,21/10/2017,2017-10-01,2017-10-21,82953_201710,latest_manifesto_on_or_before_speech_date
SPD,2017-11-22,2017-11,2017-11-01,2,party,82721,Freedom and Direct Democracy,SPD,Czech Republic,Freedom and Direct Democracy,SPD,201710,21/10/2017,2017-10-01,2017-10-21,82721_201710,latest_manifesto_on_or_before_speech_date
STAN,2017-11-22,2017-11,2017-11-01,5,party,82610,Mayors and Independents,STAN,Czech Republic,Mayors and Independents,STAN,201710,21/10/2017,2017-10-01,2017-10-21,82610_201710,latest_manifesto_on_or_before_speech_date
TOP09,2017-11-22,2017-11,2017-11-01,42,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201710,21/10/2017,2017-10-01,2017-10-21,82530_201710,latest_manifesto_on_or_before_speech_date
ANO2011,2017-11-24,2017-11,2017-11-01,50,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201710,21/10/2017,2017-10-01,2017-10-21,82430_201710,latest_manifesto_on_or_before_speech_date
CSSD,2017-11-24,2017-11,2017-11-01,6,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201710,21/10/2017,2017-10-01,2017-10-21,82320_201710,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2017-11-24,2017-11,2017-11-01,5,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201710,21/10/2017,2017-10-01,2017-10-21,82523_201710,latest_manifesto_on_or_before_speech_date
KSCM,2017-11-24,2017-11,2017-11-01,5,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201710,21/10/2017,2017-10-01,2017-10-21,82220_201710,latest_manifesto_on_or_before_speech_date
ODS,2017-11-24,2017-11,2017-11-01,15,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201710,21/10/2017,2017-10-01,2017-10-21,82413_201710,latest_manifesto_on_or_before_speech_date
Piráti,2017-11-24,2017-11,2017-11-01,6,party,82953,Czech Pirate Party,Piráti,Czech Republic,Czech Pirate Party,Piráti,201710,21/10/2017,2017-10-01,2017-10-21,82953_201710,latest_manifesto_on_or_before_speech_date
SPD,2017-11-24,2017-11,2017-11-01,5,party,82721,Freedom and Direct Democracy,SPD,Czech Republic,Freedom and Direct Democracy,SPD,201710,21/10/2017,2017-10-01,2017-10-21,82721_201710,latest_manifesto_on_or_before_speech_date
STAN,2017-11-24,2017-11,2017-11-01,21,party,82610,Mayors and Independents,STAN,Czech Republic,Mayors and Independents,STAN,201710,21/10/2017,2017-10-01,2017-10-21,82610_201710,latest_manifesto_on_or_before_speech_date
TOP09,2017-11-24,2017-11,2017-11-01,4,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201710,21/10/2017,2017-10-01,2017-10-21,82530_201710,latest_manifesto_on_or_before_speech_date
ANO2011,2017-11-28,2017-11,2017-11-01,65,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201710,21/10/2017,2017-10-01,2017-10-21,82430_201710,latest_manifesto_on_or_before_speech_date
CSSD,2017-11-28,2017-11,2017-11-01,19,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201710,21/10/2017,2017-10-01,2017-10-21,82320_201710,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2017-11-28,2017-11,2017-11-01,5,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201710,21/10/2017,2017-10-01,2017-10-21,82523_201710,latest_manifesto_on_or_before_speech_date
KSCM,2017-11-28,2017-11,2017-11-01,30,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201710,21/10/2017,2017-10-01,2017-10-21,82220_201710,latest_manifesto_on_or_before_speech_date
ODS,2017-11-28,2017-11,2017-11-01,23,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201710,21/10/2017,2017-10-01,2017-10-21,82413_201710,latest_manifesto_on_or_before_speech_date
Piráti,2017-11-28,2017-11,2017-11-01,4,party,82953,Czech Pirate Party,Piráti,Czech Republic,Czech Pirate Party,Piráti,201710,21/10/2017,2017-10-01,2017-10-21,82953_201710,latest_manifesto_on_or_before_speech_date
SPD,2017-11-28,2017-11,2017-11-01,7,party,82721,Freedom and Direct Democracy,SPD,Czech Republic,Freedom and Direct Democracy,SPD,201710,21/10/2017,2017-10-01,2017-10-21,82721_201710,latest_manifesto_on_or_before_speech_date
TOP09,2017-11-28,2017-11,2017-11-01,8,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201710,21/10/2017,2017-10-01,2017-10-21,82530_201710,latest_manifesto_on_or_before_speech_date
ANO2011,2017-11-30,2017-11,2017-11-01,24,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201710,21/10/2017,2017-10-01,2017-10-21,82430_201710,latest_manifesto_on_or_before_speech_date
KDU-ČSL,2017-11-30,2017-11,2017-11-01,4,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201710,21/10/2017,2017-10-01,2017-10-21,82523_201710,latest_manifesto_on_or_before_speech_date
KSCM,2017-11-30,2017-11,2017-11-01,4,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201710,21/10/2017,2017-10-01,2017-10-21,82220_201710,latest_manifesto_on_or_before_speech_date
ODS,2017-11-30,2017-11,2017-11-01,1,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201710,21/10/2017,2017-10-01,2017-10-21,82413_201710,latest_manifesto_on_or_before_speech_date
SPD,2017-11-30,2017-11,2017-11-01,4,party,82721,Freedom and Direct Democracy,SPD,Czech Republic,Freedom and Direct Democracy,SPD,201710,21/10/2017,2017-10-01,2017-10-21,82721_201710,latest_manifesto_on_or_before_speech_date
STAN,2017-11-30,2017-11,2017-11-01,2,party,82610,Mayors and Independents,STAN,Czech Republic,Mayors and Independents,STAN,201710,21/10/2017,2017-10-01,2017-10-21,82610_201710,latest_manifesto_on_or_before_speech_date
