speech_party,month,month_start,speech_label_type,mpds_party_id,mpds_partyname,mpds_partyabbrev,manifesto_countryname,manifesto_partyname,manifesto_partyabbrev,manifesto_date,edate,manifesto_month_start,manifesto_effective_date,doc_key,selection_method,speech_rows,speech_dates,speech_start_date,speech_end_date
TOP09,2014-05,2014-05-01,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date,474,5,2014-05-06,2014-05-15
Usvit,2014-05,2014-05-01,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date,112,5,2014-05-06,2014-05-15
ANO2011,2014-06,2014-06-01,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date,585,8,2014-06-10,2014-06-20
CSSD,2014-06,2014-06-01,party,82320,Czech Social Democratic Party,ČSSD,Czech Republic,Czech Social Democratic Party,ČSSD,201310,26/10/2013,2013-10-01,2013-10-26,82320_201310,latest_manifesto_on_or_before_speech_date,526,8,2014-06-10,2014-06-20
KDU-ČSL,2014-06,2014-06-01,party,82523,Christian and Democratic Union - Czech People's Party,KDU-ČSL,Czech Republic,Christian and Democratic Union - Czech People's Party,KDU-ČSL,201310,26/10/2013,2013-10-01,2013-10-26,82523_201310,latest_manifesto_on_or_before_speech_date,170,8,2014-06-10,2014-06-20
KSCM,2014-06,2014-06-01,party,82220,Communist Party of Bohemia and Moravia,KSČM,Czech Republic,Communist Party of Bohemia and Moravia,KSČM,201310,26/10/2013,2013-10-01,2013-10-26,82220_201310,latest_manifesto_on_or_before_speech_date,366,8,2014-06-10,2014-06-20
ODS,2014-06,2014-06-01,party,82413,Civic Democratic Party,ODS,Czech Republic,Civic Democratic Party,ODS,201310,26/10/2013,2013-10-01,2013-10-26,82413_201310,latest_manifesto_on_or_before_speech_date,550,8,2014-06-10,2014-06-20
TOP09,2014-06,2014-06-01,party,82530,"Tradition, Responsibility, Prosperity 09",TOP09,Czech Republic,"Tradition, Responsibility, Prosperity 09",TOP09,201310,26/10/2013,2013-10-01,2013-10-26,82530_201310,latest_manifesto_on_or_before_speech_date,618,8,2014-06-10,2014-06-20
Usvit,2014-06,2014-06-01,party,82720,Tomio Okamura's Dawn of Direct Democracy,Úsvit,Czech Republic,Tomio Okamura's Dawn of Direct Democracy,Úsvit,201310,26/10/2013,2013-10-01,2013-10-26,82720_201310,latest_manifesto_on_or_before_speech_date,231,8,2014-06-10,2014-06-20
ANO2011,2014-07,2014-07-01,party,82430,ANO 2011,ANO,Czech Republic,ANO 2011,ANO,201310,26/10/2013,2013-10-01,2013-10-26,82430_201310,latest_manifesto_on_or_before_speech_date,174,6,2014-07-15,2014-07-30
